external_term,suggested_category,suggested_no,suggested_work_name,match_type,score
(우측)쿼터패널(내측),판금도장,32,쿼터 외측 패널도장(LH),similarity,0.571
(우측)쿼터패널(외측),판금도장,32,쿼터 외측 패널도장(LH),similarity,0.571
(좌측)사이드패널(내측),판금도장,26,사이드실외측패널(LH/탈부착미포함),similarity,0.769
(좌측)사이드패널(외측),판금도장,26,사이드실외측패널(LH/탈부착미포함),similarity,0.769
"ABS 센서(뒤,우)",,,,none,0.0
"ABS 센서(뒤,좌)",,,,none,0.0
"ABS 센서(앞,우)",,,,none,0.0
"ABS 센서(앞,좌)",,,,none,0.0
ABS 하이드로릭 유니트,,,,none,0.0
ABS하이드로릭유니트,,,,none,0.0
ABS휠센서(뒤우),,,,none,0.0
ABS휠센서(뒤좌),,,,none,0.0
ABS휠센서(앞우),,,,none,0.0
ABS휠센서(앞좌),,,,none,0.0
AV(네비게이션)시스템,,,,none,0.0
AV시스템,,,,none,0.0
BCM(LAN컨트롤 유니트),,,,none,0.0
BCM(차체컨트롤모듈),,,,none,0.0
C 필러(우측),기능정비,75,연료 필러 도어 어셈블리,keyword,0.5
C 필러(좌측),기능정비,75,연료 필러 도어 어셈블리,keyword,0.5
CD 체인저,,,,none,0.0
D 필러 익스텐션 패널(우측),,,,none,0.0
D 필러 익스텐션 패널(좌측),,,,none,0.0
"D 필러패널(내외측,우)",판금도장,23,백 패널(탈부착 미포함),similarity,0.6
"D 필러패널(내외측,좌)",판금도장,23,백 패널(탈부착 미포함),similarity,0.6
"D 필러패널(내측,우)",판금도장,23,백 패널(탈부착 미포함),similarity,0.6
"D 필러패널(내측,좌)",판금도장,23,백 패널(탈부착 미포함),similarity,0.6
"D 필러패널(외측,우)",판금도장,23,백 패널(탈부착 미포함),similarity,0.6
"D 필러패널(외측,좌)",판금도장,23,백 패널(탈부착 미포함),similarity,0.6
"DRL(데이램프,우)",,,,none,0.0
"DRL(데이램프,좌)",,,,none,0.0
DVD 체인져,,,,none,0.0
D필러 익스텐션패널(우측),,,,none,0.0
D필러 익스텐션패널(좌측),,,,none,0.0
D필러커버ASSY,,,,none,0.0
EGR밸브,,,,none,0.0
EGR쿨러,,,,none,0.0
EGR쿨러(고압),,,,none,0.0
EGR쿨러(저압),,,,none,0.0
HID 헤드램프 밸러스트(우측),,,,none,0.0
HID 헤드램프 밸러스트(좌측),,,,none,0.0
LED 드라이브 모듈(우측),,,,none,0.0
LED 드라이브 모듈(좌측),,,,none,0.0
LID 류-1개,,,,none,0.0
LID 류-2개,,,,none,0.0
LID 류-4개,,,,none,0.0
LID 류-8개,,,,none,0.0
LPG 레귤레이터,기능정비,61,LPI 필터,similarity,0.533
LPG 레귤레이터 유닛,,,,none,0.0
LPG 믹서,기능정비,61,LPI 필터,similarity,0.5
LPG믹서,,,,none,0.0
LPG봄베,,,,none,0.0
LPG탱크,,,,none,0.0
Oil Cooler ASSY,,,,none,0.0
PRE카탈리스틱 컨버터(뒤),,,,none,0.0
PRE카탈리스틱 컨버터(앞),,,,none,0.0
TV 튜너 유니트,,,,none,0.0
VACUUM PUMP,,,,none,0.0
가니쉬 #1,,,,none,0.0
가니쉬 #2,,,,none,0.0
"가드레일(우,조립식)",,,,none,0.0
가드레일(우측),,,,none,0.0
"가드레일(좌,조립식)",,,,none,0.0
가드레일(좌측),,,,none,0.0
가상 엔진사운드 스피커,,,,none,0.0
각종계기케이블,,,,none,0.0
고압펌프,,,,none,0.0
고전압 배터리모듈,,,,none,0.0
고전압차단(HEV),,,,none,0.0
고정창 사각유리(우측),,,,none,0.0
고정창 사각유리(좌측),,,,none,0.0
공구박스,,,,none,0.0
공구박스(프레임용접식),,,,none,0.0
공구함커버 & 박스,,,,none,0.0
공기청정기,,,,none,0.0
글로브박스,,,,none,0.0
냉각 팬,,,,none,0.0
너클(우측),기능정비,92,프론트 액슬 너클(LH),contains,0.75
너클(좌측),기능정비,92,프론트 액슬 너클(LH),contains,0.75
대쉬 로워패널,판금도장,23,백 패널(탈부착 미포함),similarity,0.545
대쉬 인슐레이터,기능정비,98,스트러트 인슐레이터 어셈블리 (LH),similarity,0.522
대쉬센터패널(볼트식),,,,none,0.0
대쉬센터패널(용접식),,,,none,0.0
대쉬인슐레이터,,,,none,0.0
대쉬패널,판금도장,23,백 패널(탈부착 미포함),similarity,0.5
대쉬패널 멤버,,,,none,0.0
대쉬패널 센터(볼트식),,,,none,0.0
대쉬패널멤버,,,,none,0.0
대쉬패널멤버(크로스멤버),기능정비,15,파워 스티어링 및 링키지(크로스멤버 탈착후),keyword,0.5
대시보드 철판,,,,none,0.0
대형룸램프,,,,none,0.0
데크 프론트패널(적재함 앞),판금도장,23,백 패널(탈부착 미포함),similarity,0.5
데크 플로워 패널,판금도장,12,트렁크 리드 패널(사상작업포함),similarity,0.556
데크트림,,,,none,0.0
"도어 리어필러(외측,우)",기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(외측,좌)",기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(외측,킹캡,우)",기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(외측,킹캡,좌)",기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(우,킹캡)",기능정비,60,에어 클리너 필터,similarity,0.5
도어 리어필러(우측),기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(인너,우)",기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(인너,좌)",기능정비,60,에어 클리너 필터,similarity,0.5
"도어 리어필러(좌,킹캡)",기능정비,60,에어 클리너 필터,similarity,0.5
도어 리어필러(좌측),기능정비,60,에어 클리너 필터,similarity,0.5
뒤 배선,,,,none,0.0
뒤 범퍼,판금도장,1,프론트 범퍼 오버홀,keyword,1.0
뒤 범퍼(FRP),판금도장,1,프론트 범퍼 오버홀,keyword,0.5
뒤 범퍼(분할형),판금도장,1,프론트 범퍼 오버홀,keyword,0.5
뒤 범퍼(스텐레스),판금도장,1,프론트 범퍼 오버홀,keyword,0.5
뒤 범퍼(우레탄형),판금도장,1,프론트 범퍼 오버홀,keyword,0.5
뒤 엔진룸 LID,,,,none,0.0
뒤 엔진룸 사이드(코너)LID,,,,none,0.0
뒤 케이스,,,,none,0.0
뒤 히터,,,,none,0.0
뒤 히터(1번),,,,none,0.0
뒤 히터(2번),,,,none,0.0
"뒤도어(우,전동,화물)",,,,none,0.0
"뒤도어(우,화물)",,,,none,0.0
"뒤도어(좌,전동,화물)",,,,none,0.0
"뒤도어(좌,화물)",,,,none,0.0
뒤사이드 고정유리(접착),,,,none,0.0
뒤사이드 고정유리(힌지),,,,none,0.0
뒤시트레일,,,,none,0.0
"뒤시트레일(일체형,우)",,,,none,0.0
"뒤시트레일(일체형,좌)",,,,none,0.0
뒤유리,,,,none,0.0
"뒤유리(접착식,상)",,,,none,0.0
"뒤유리(접착식,하)",,,,none,0.0
뒤차축,,,,none,0.0
뒤케이스,,,,none,0.0
"뒤휀다고정유리 #2(접착식,우)",,,,none,0.0
"뒤휀다고정유리 #2(접착식,좌)",,,,none,0.0
"뒤휀다고정유리(접착식,우)",,,,none,0.0
"뒤휀다고정유리(접착식,우)#2",,,,none,0.0
"뒤휀다고정유리(접착식,우,밴)",,,,none,0.0
"뒤휀다고정유리(접착식,우,승용)",,,,none,0.0
"뒤휀다고정유리(접착식,좌)",,,,none,0.0
"뒤휀다고정유리(접착식,좌)#2",,,,none,0.0
"뒤휀다고정유리(접착식,좌,밴)",,,,none,0.0
뒤휀다고정유리(좌측),,,,none,0.0
"뒤휀다고정유리(힌지식,우)",,,,none,0.0
"뒤휀다고정유리(힌지식,좌)",,,,none,0.0
뒷배선,,,,none,0.0
뒷유리(끼움식),,,,none,0.0
뒷유리(오픈형),,,,none,0.0
뒷유리(접착식),,,,none,0.0
드로틀바디,,,,none,0.0
드로틀바디(V8),,,,none,0.0
"드로틀바디(가솔린,LPG)",,,,none,0.0
드로틀바디(디젤),,,,none,0.0
드로틀바디서보,,,,none,0.0
"등속조인트(뒤,우)",,,,none,0.0
"등속조인트(뒤,좌)",,,,none,0.0
"등속조인트(앞,우)",,,,none,0.0
"등속조인트(앞,좌)",,,,none,0.0
등속죠인트(우측),,,,none,0.0
등속죠인트(좌측),,,,none,0.0
등화관제등(뒤우),,,,none,0.0
등화관제등(뒤좌),,,,none,0.0
등화관제등(앞우),,,,none,0.0
등화관제등(앞좌),,,,none,0.0
디스트리뷰터,,,,none,0.0
디퍼런셜 기어,기능정비,14,파워 스티어링 기어 및 링키지 어셈블리,keyword,0.5
디퍼런셜 기어(리어),,,,none,0.0
"디퍼런셜 기어(프론트,AWD)",,,,none,0.0
디퍼런셜기어,,,,none,0.0
디퍼렌셜 기어,기능정비,14,파워 스티어링 기어 및 링키지 어셈블리,keyword,0.5
디피에프 컨버터,,,,none,0.0
딜리버리 파이프,,,,none,0.0
딜리버리 파이프#2,,,,none,0.0
라디에이터,기능정비,2,라디에이터 어셈블리,keyword,1.0
라디에이터 ASSY,기능정비,2,라디에이터 어셈블리,similarity,0.6
라디에이터 가드,기능정비,2,라디에이터 어셈블리,similarity,0.667
라디에이터 로워 브라켓(우측),기능정비,4,라디에이터 상부 호스,similarity,0.609
라디에이터 로워 브라켓(좌측),기능정비,4,라디에이터 상부 호스,similarity,0.609
라디에이터 리저브탱크,기능정비,2,라디에이터 어셈블리,similarity,0.667
라디에이터 리져브탱크,기능정비,2,라디에이터 어셈블리,similarity,0.667
라디에이터 에어 가이드,기능정비,2,라디에이터 어셈블리,similarity,0.636
라디에이터 휀,기능정비,2,라디에이터 어셈블리,keyword,1.0
라디에이터(A/T),기능정비,2,라디에이터 어셈블리,keyword,1.0
라디에이터(M/T),기능정비,2,라디에이터 어셈블리,keyword,1.0
라디에이터그릴,기능정비,17,라디에이터 그릴 어셈블리,rule,1.0
