job_id,job_name_raw,job_name_norm,system_type,area,component_group,position_side,axle_or_row,quantity_type,work_type,labor_category
BH_0001,워터펌프어셈블리 및 가스켓(텐션조정포함),워터 펌프 어셈블리 및 가스켓 (텐션조정포함),ENGINE,ENGINE_BAY,PUMP,N/A,N/A,N/A,ADJUST,FUNCTIONAL
BH_0002,라디에이터 어셈블리,라디에이터 어셈블리,ENGINE,ENGINE_BAY,RADIATOR,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0003,블로워 어셈블리,블로워 어셈블리,HVAC,UNDERBODY,HVAC,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0004,라디에이터 상부 호스,라디에이터 상부 호스,ENGINE,ENGINE_BAY,RADIATOR,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0005,라디에이터 하부 호스,라디에이터 하부 호스,ENGINE,ENGINE_BAY,RADIATOR,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0006,리어 머플러 어셈블리(LH),리어 머플러 어셈블리 (LH),EXHAUST,REAR,EXHAUST,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0007,엔진 언더 커버(LH OR 한개),엔진 언더 커버 (LH OR 한개),ENGINE,ENGINE_BAY,UNDERBODY_COVER,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0008,프론트 머드 가드,프론트 머드 가드,BODY,FRONT,N/A,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0009,연료 탱크 어셈블리,연료 탱크 어셈블리,FUEL,UNDERBODY,TANK,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0010,스로틀 바디 카본 청소,스로틀 바디 카본 청소,ENGINE,ENGINE_BAY,INTAKE,N/A,N/A,N/A,CLEANING,FUNCTIONAL
BH_0011,클러치 릴리스 실린더 어셈블리,클러치 릴리스 실린더 어셈블리,TRANSMISSION,N/A,TRANSMISSION,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0012,파워 스티어링 오일 펌프 어셈블리,파워 스티어링 오일 펌프 어셈블리,STEERING,ENGINE_BAY,PUMP,N/A,N/A,N/A,REPLACE,MAINTENANCE
BH_0013,파워 스티어링 오일 압력 호스 어셈블리,파워 스티어링 오일 압력 호스 어셈블리,STEERING,N/A,FLUID,N/A,N/A,N/A,REPLACE,MAINTENANCE
BH_0014,파워 스티어링 기어 및 링키지 어셈블리,파워 스티어링 기어 및 링키지 어셈블리,STEERING,N/A,N/A,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0015,파워 스티어링 및 링키지(크로스멤버 탈착후),파워 스티어링 및 링키지 (크로스멤버 탈착후),STEERING,UNDERBODY,SUSP_ARM,N/A,N/A,N/A,REMOVE_INSTALL,FUNCTIONAL
BH_0016,라디에이터 및 콘덴서,라디에이터 및 콘덴서,ENGINE,ENGINE_BAY,RADIATOR,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0017,라디에이터 그릴 어셈블리,라디에이터 그릴 어셈블리,ENGINE,ENGINE_BAY,RADIATOR,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0018,프런트 휠 가드 어셈블리 (양쪽),프런트 휠 가드 어셈블리 (양쪽),SUSPENSION,N/A,TIRE_WHEEL,BOTH,N/A,BOTH_SIDE,REPLACE,FUNCTIONAL
BH_0019,백 패널 몰딩 어셈블리,백 패널 몰딩 어셈블리,BODY,N/A,N/A,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0020,아웃사이드리어뷰미러어셈블리(LH),아웃사이드 리어 뷰미러어셈블리 (LH),BODY,REAR,MIRROR,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0021,아웃사이드리어뷰미러어셈블리(RH),아웃사이드 리어 뷰미러어셈블리 (RH),BODY,REAR,MIRROR,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0022,아웃사이드 리어 뷰 리모트 컨트롤 미러 어셈블리,아웃사이드 리어 뷰 리모트 컨트롤 미러 어셈블리,BODY,REAR,MIRROR,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0023,아웃사이드 리어 뷰 리모트 컨트롤 미러(RH),아웃사이드 리어 뷰 리모트 컨트롤 미러 (RH),BODY,REAR,MIRROR,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0024,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (LH),아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (LH),BODY,REAR,MIRROR,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0025,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (RH),아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (RH),BODY,REAR,MIRROR,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0026,헤드 램프 어셈블리(LH),헤드 램프 어셈블리 (LH),ELECTRICAL,FRONT,LAMP,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0027,헤드 램프 어셈블리 (양쪽),헤드 램프 어셈블리 (양쪽),ELECTRICAL,FRONT,LAMP,BOTH,N/A,BOTH_SIDE,REPLACE,FUNCTIONAL
BH_0028,헤드 램프 어셈블리(RH),헤드 램프 어셈블리 (RH),ELECTRICAL,FRONT,LAMP,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0029,프론트포그램프어셈블리 (LH),프론트 포그 램프어셈블리 (LH),ELECTRICAL,FRONT,LAMP,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0030,프론트 포그 램프 어셈블리 (양쪽),프론트 포그 램프 어셈블리 (양쪽),ELECTRICAL,FRONT,LAMP,BOTH,N/A,BOTH_SIDE,REPLACE,FUNCTIONAL
BH_0031,프론트포그램프어셈블리 (RH),프론트 포그 램프어셈블리 (RH),ELECTRICAL,FRONT,LAMP,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0032,리어컴비네이션램프어셈블리 (LH),리어 콤비네이션램프어셈블리 (LH),ELECTRICAL,REAR,LAMP,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0033,리어 콤비네이션 램프 어셈블리 (양쪽),리어 콤비네이션 램프 어셈블리 (양쪽),ELECTRICAL,REAR,LAMP,BOTH,N/A,BOTH_SIDE,REPLACE,FUNCTIONAL
BH_0034,리어컴비네이션램프어셈블리 (RH),리어 콤비네이션램프어셈블리 (RH),ELECTRICAL,REAR,LAMP,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0035,리어컴비네이션램프어셈블리 (LH),리어 콤비네이션램프어셈블리 (LH),ELECTRICAL,REAR,LAMP,LH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0036,리어 콤비네이션 인사이드 램프 어셈블리 (양쪽),리어 콤비네이션 인사이드 램프 어셈블리 (양쪽),ELECTRICAL,REAR,LAMP,BOTH,N/A,BOTH_SIDE,REPLACE,FUNCTIONAL
BH_0037,리어컴비네이션아웃사이드램프어셈블리 (RH),리어 콤비네이션아웃사이드램프어셈블리 (RH),ELECTRICAL,REAR,LAMP,RH,N/A,1EA,REPLACE,FUNCTIONAL
BH_0038,클락 스프링 어셈블리(에어백 포함),클락 스프링 어셈블리 (에어백 포함),ELECTRICAL,INTERIOR,AIRBAG,N/A,N/A,N/A,REPLACE,FUNCTIONAL
BH_0039,스톱 램프 스위치 어셈블리,스톱 램프 스위치 어셈블리,ELECTRICAL,N/A,LAMP,N/A,N/A,N/A,REPLACE,FUNCTIONAL
