번호,대분류,중분류,작업명
1,기능정비,엔진 부품,워터펌프어셈블리 및 가스켓(텐션조정포함)
2,기능정비,엔진 부품,라디에이터 어셈블리
3,기능정비,에어컨,블로워 어셈블리
4,기능정비,엔진 부품,라디에이터 상부 호스
5,기능정비,엔진 부품,라디에이터 하부 호스
6,기능정비,엔진 부품,리어 머플러 어셈블리
7,기능정비,엔진 부품,엔진 언더 커버(LH OR RH) 한개
8,기능정비,엔진 부품,프론트 머드가드
9,기능정비,엔진 부품,연료 탱크 어셈블리
10,기능정비,엔진 부품,스로틀 바디 카본 청소
11,기능정비,엔진 부품,클러치 릴리스 실린더 어셈블리
12,기능정비,조향 및 현가,파워 스티어링 오일 펌프 어셈블리
13,기능정비,조향 및 현가,파워 스티어링 오일 압력 호스 어셈블리
14,기능정비,조향 및 현가,파워 스티어링 기어 및 링키지 어셈블리
15,기능정비,조향 및 현가,파워 스티어링 및 링키지(크로스멤버 탈착후)
16,기능정비,엔진 부품,라디에이터 및 콘덴서
17,기능정비,엔진 부품,라디에이터 그릴 어셈블리
18,기능정비,엔진 부품,프런트 가드 어셈블리 (양쪽)
19,기능정비,엔진 부품,백 패널 몰딩 어셈블리
20,기능정비,전기 및 램프,사이드리어뷰미러어셈블리(LH)
21,기능정비,전기 및 램프,아웃사이드리어뷰미러어셈블리(RH)
22,기능정비,전기 및 램프,사이드 리어 뷰 리모트 컨트롤 미러 어셈블리(LH)
23,기능정비,전기 및 램프,사이드 리어 뷰 리모트 컨트롤 미러(RH)
24,기능정비,전기 및 램프,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (LH)
25,기능정비,전기 및 램프,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (RH)
26,기능정비,전기 및 램프,헤드 램프 어셈블리(LH)
27,기능정비,전기 및 램프,헤드 램프 어셈블리(양쪽)
28,기능정비,전기 및 램프,헤드 램프 어셈블리(RH)
29,기능정비,전기 및 램프,프론트 포그 램프 어셈블리 (LH)
30,기능정비,전기 및 램프,프론트 포그 램프 어셈블리 (양쪽)
31,기능정비,전기 및 램프,프론트 포그 램프 어셈블리 (RH)
32,기능정비,전기 및 램프,리어 콤비네이션 램프 어셈블리 (LH)
33,기능정비,전기 및 램프,리어 콤비네이션 램프 어셈블리 (양쪽)
34,기능정비,전기 및 램프,리어 콤비네이션 램프 어셈블리 (RH)
35,기능정비,전기 및 램프,리어 콤비네이션 램프 어셈블리 (LH)
36,기능정비,전기 및 램프,리어 콤비네이션 인사이드 램프 어셈블리 (양쪽)
37,기능정비,전기 및 램프,리어 콤비네이션 아웃사이드 램프 어셈블리 (RH)
38,기능정비,전기 및 램프,클락 스프링 어셈블리(에어백 포함)
39,기능정비,전기 및 램프,스톱 램프 스위치 어셈블리
40,기능정비,전기 및 램프,밧데리 트랜스미터
41,기능정비,전기 및 램프,PIC TX 어셈블리
42,기능정비,전기 및 램프,에어백 컨트롤 모듈
43,기능정비,전기 및 램프,혼 어셈블리 (H)
44,기능정비,에어컨,콘덴서 어셈블리
45,기능정비,에어컨,컴프레서 어셈블리
46,기능정비,에어컨,디스차지 호스 및 O-링
47,기능정비,전기 및 램프,윈드실드 와셔 모터 및 펌프 어셈블리
48,기능정비,전기 및 램프,윈드실드 와셔 리저버 어셈블리
49,기능정비,조향 및 현가,리어 쇼크 업소버 어셈블리 (LH)
50,기능정비,조향 및 현가,리어 쇼크 업소버 어셈블리 (RH)
51,기능정비,에어컨,에어컨 가스 배출 및 충전
52,기능정비,에어컨,에어컨 가스 충전 (신냉매 완충)
53,기능정비,엔진 부품,수동 변속기 오일
54,기능정비,전기 및 램프,전구
55,기능정비,전기 및 램프,헤드 램프 벌브 (한쪽)
56,기능정비,엔진 부품,스파크 플러그 어셈블리 (전체)
57,소모품 및 하체정비,오일류,엔진 오일/휠터
58,소모품 및 하체정비,오일류,엔진오일/필터/에어크리너
59,소모품 및 하체정비,오일류,부동액 (냉각수)
60,소모품 및 하체정비,소모품,에어 클리너 필터
61,소모품 및 하체정비,소모품,LPI 필터
62,소모품 및 하체정비,소모품,배터리 어셈블리
63,소모품 및 하체정비,오일류,오토 트랜스맥슬 오일
64,소모품 및 하체정비,오일류,오토미션 오일 (장비 사용)
65,소모품 및 하체정비,브레이크/타이어,프론트 브레이크 디스크 (LH)
66,소모품 및 하체정비,브레이크/타이어,프론트 브레이크 디스크 (양쪽)
67,소모품 및 하체정비,브레이크/타이어,프론트 브레이크 디스크 (RH)
68,소모품 및 하체정비,오일류,파워 스티어링 오일 및 공기빼기
69,소모품 및 하체정비,오일류,파워 스티어링 오일 (장비 사용)
70,소모품 및 하체정비,브레이크/타이어,프론트 디스크 브레이크 패드 키트 (LH)
71,소모품 및 하체정비,브레이크/타이어,프론트 디스크 브레이크 패드 키트 (양쪽)
72,소모품 및 하체정비,브레이크/타이어,리어 디스크 브레이크 패드 어셈블리 (양쪽)
73,소모품 및 하체정비,오일류,브레이크 오일 및 공기 빼기
74,소모품 및 하체정비,소모품,에어컨 필터
75,소모품 및 하체정비,하체 부품,연료 필러 도어 어셈블리
76,소모품 및 하체정비,브레이크/타이어,휠 밸런스 (2본)
77,소모품 및 하체정비,브레이크/타이어,휠 얼라인먼트 조정 (2륜)
78,소모품 및 하체정비,브레이크/타이어,휠 얼라인먼트 조정 (4륜)
79,소모품 및 하체정비,브레이크/타이어,휠 얼라인먼트 인스펙션
80,소모품 및 하체정비,브레이크/타이어,타이어 펑크 수리
81,소모품 및 하체정비,브레이크/타이어,타이어 및 휠 어셈블리 (1본)
82,소모품 및 하체정비,브레이크/타이어,타이어 및 휠 어셈블리 (2본)
83,소모품 및 하체정비,하체 부품,후드 래취 어셈블리
84,소모품 및 하체정비,하체 부품,프론트 도어 래쉬 어셈블리 (LH)
85,소모품 및 하체정비,하체 부품,프론트 도어 인사이드 핸들 어셈블리
86,소모품 및 하체정비,하체 부품,프론트 도어 아웃사이드 핸들 어셈블리
87,소모품 및 하체정비,하체 부품,리어 도어 아웃사이드 핸들 어셈블리
88,소모품 및 하체정비,하체 부품,메인 크래쉬 패드 어셈블리
89,소모품 및 하체정비,하체 부품,리어 패키지 트레이 트림 어셈블리
90,소모품 및 하체정비,하체 부품,리어 트랜스버스 트림 어셈블리
91,소모품 및 하체정비,하체 부품,커울 탑 커버 및 패드 어셈블리
92,소모품 및 하체정비,하체 부품,프론트 액슬 너클 (LH)
93,소모품 및 하체정비,하체 부품,프론트 액슬 너클 (양쪽)
