구분,NO,작업명,엑센트(RB),아반떼(AD),i30(PD),아이오닉HEV(AE),i40세단(VF),쏘나타(LF),그랜저(IG),G70(IK),G80(DH),EQ900(HI),코나(OS),투싼(TL),싼타페(DM),그랜드스타렉스(TQ),포터2
기능정비,1,워터펌프어셈블리 및 가스켓(텐션조정포함),1.7,1.7,1.8,1.5,1.7,1.2,2.0,1.3,1.2,1.2,1.2,1.9,1.2,1.9,1.8
기능정비,2,라디에이터 어셈블리,1.1,1.2,1.2,1.7,1.5,1.4,1.3,1.3,1.2,1.2,1.3,1.3,1.6,0.7,1.0
기능정비,3,블로워 어셈블리,0.6,0.3,0.3,0.6,0.5,0.7,0.3,0.3,0.5,0.5,0.3,0.8,0.7,1.1,1.1
기능정비,4,라디에이터 상부 호스,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.5,0.9,0.9,0.4,0.3,0.3,0.3,0.7
기능정비,5,라디에이터 하부 호스,0.8,0.8,0.5,0.8,0.8,0.8,0.8,1.0,0.9,0.9,0.8,0.9,0.9,0.5,1.0
기능정비,6,리어 머플러 어셈블리(LH),0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.5,0.5,0.3,0.3,0.3,0.3,0.4
기능정비,7,엔진 언더 커버(LH OR 한개),0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,0.3,0.2,0.3
기능정비,8,프론트 머드 가드,0.2,0.2,0.2,0.2,-,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
기능정비,9,연료 탱크 어셈블리,1.2,1.2,1.5,1.3,1.3,1.4,1.3,2.3,2.2,2.2,1.6,1.5,1.6,1.2,0.9
기능정비,10,스로틀 바디 카본 청소,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.4,-,-
기능정비,11,클러치 릴리스 실린더 어셈블리,0.4,0.6,0.6,-,-,-,-,0.5,0.5,0.6,0.5,0.5,-,-,-
기능정비,12,파워 스티어링 오일 펌프 어셈블리,0.7,-,0.4,-,-,0.8,-,-,0.9,0.9,-,-,-,1.0,1.1
기능정비,13,파워 스티어링 오일 압력 호스 어셈블리,0.6,-,0.6,-,-,0.8,-,-,0.7,0.7,-,-,-,0.6,0.4
기능정비,14,파워 스티어링 기어 및 링키지 어셈블리,1.7,1.9,1.8,1.9,1.6,1.9,2.0,2.0,1.5,1.5,-,-,1.9,1.5,1.8
기능정비,15,파워 스티어링 및 링키지(크로스멤버 탈착후),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,-,-
기능정비,16,라디에이터 및 콘덴서,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,-
기능정비,17,라디에이터 그릴 어셈블리,0.5,0.4,0.6,1.0,0.6,0.6,0.5,0.8,0.7,0.7,0.6,0.5,0.8,0.7,-
기능정비,18,프런트 휠 가드 어셈블리 (양쪽),0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.3,0.6,0.7,0.2
기능정비,19,백 패널 몰딩 어셈블리,-,-,-,-,0.6,0.6,-,-,0.6,0.6,0.4,0.4,0.5,-,-
기능정비,20,아웃사이드리어뷰미러어셈블리(LH),-,-,0.2,-,-,-,-,-,-,-,0.2,-,-,0.3,0.2
기능정비,21,아웃사이드리어뷰미러어셈블리(RH),-,-,0.2,-,-,-,-,-,-,-,0.2,-,-,0.3,0.2
기능정비,22,아웃사이드 리어 뷰 리모트 컨트롤 미러 어셈블리,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2
기능정비,23,아웃사이드 리어 뷰 리모트 컨트롤 미러(RH),0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2
기능정비,24,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (LH),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-,0.2
기능정비,25,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (RH),0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-,0.2
기능정비,26,헤드 램프 어셈블리(LH),0.4,0.3,0.2,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.4,0.2,0.5,0.3,0.2
기능정비,27,헤드 램프 어셈블리 (양쪽),0.4,0.3,0.3,0.6,0.6,0.5,0.8,0.6,0.8,0.8,0.5,0.3,0.6,0.3,0.3
기능정비,28,헤드 램프 어셈블리(RH),0.4,0.3,0.2,0.5,0.5,0.5,0.6,0.5,0.7,0.7,0.4,0.2,0.5,0.3,0.2
기능정비,29,프론트포그램프어셈블리 (LH),0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.7,0.7,0.5,0.3,0.5,0.9,0.6
기능정비,30,프론트 포그 램프 어셈블리 (양쪽),0.5,0.7,0.5,0.7,0.6,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.6,-,-
기능정비,31,프론트포그램프어셈블리 (RH),0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.7,0.7,0.5,0.3,0.5,0.9,0.6
기능정비,32,리어컴비네이션램프어셈블리 (LH),0.3,-,0.2,-,-,-,-,-,-,-,-,-,0.2,0.2,0.2
기능정비,33,리어 콤비네이션 램프 어셈블리 (양쪽),0.4,-,0.3,-,-,-,-,-,-,-,-,-,0.3,0.3,-
기능정비,34,리어컴비네이션램프어셈블리 (RH),0.3,-,0.2,-,-,-,-,-,-,-,-,-,0.2,0.2,0.2
기능정비,35,리어컴비네이션램프어셈블리 (LH),-,-,0.2,-,0.2,0.2,-,-,0.3,-,-,-,-,-,-
기능정비,36,리어 콤비네이션 인사이드 램프 어셈블리 (양쪽),-,0.4,0.3,0.4,0.3,0.3,-,-,0.4,0.4,0.3,0.3,-,-,-
기능정비,37,리어컴비네이션아웃사이드램프어셈블리 (RH),-,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.2,-,-,-
기능정비,38,클락 스프링 어셈블리(에어백 포함),0.3,0.4,0.5,0.4,0.5,0.4,0.5,0.4,0.6,0.6,0.4,0.4,0.5,0.5,0.5
기능정비,39,스톱 램프 스위치 어셈블리,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
기능정비,40,밧데리-트랜스미터,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,-,0.2,0.2
기능정비,41,PIC TX 어셈블리,0.6,0.3,0.3,0.3,0.7,0.3,0.3,0.3,0.7,0.7,0.3,0.3,0.3,0.2,0.2
기능정비,42,에어백 컨트롤 모듈,0.6,0.8,1.0,0.6,0.7,0.6,0.8,0.4,0.6,0.6,0.5,0.6,0.6,0.5,0.4
기능정비,43,혼 어셈블리 (LH),0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.7,0.7,0.4,0.2,0.2,0.6,0.2
기능정비,44,콘덴서 어셈블리 (**),0.6,0.7,1.0,0.6,0.8,0.6,0.8,1.5,0.6,0.6,0.7,0.5,1.3,1.8,0.9
기능정비,45,컴프레셔 어셈블리(**),0.5,0.5,0.7,0.7,0.7,0.5,0.7,1.1,0.7,0.7,0.6,0.5,1.0,0.5,0.7
기능정비,46,디스차지 호스 및 O-링(**),0.3,0.3,0.2,0.5,0.3,0.3,0.3,0.9,0.4,0.4,0.4,0.3,0.5,0.3,0.6
기능정비,47,윈드실드 와셔 모터 및 펌프 어셈블리,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.9,0.9,0.4,0.4,0.5,0.6,0.3
기능정비,48,윈드실드 와셔 리저버 어셈블리,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.5,0.6,0.6,0.5,0.4,0.9,0.7,0.7
기능정비,49,리어쇼크업소버어셈블리(LH),0.5,0.4,0.5,0.5,0.6,0.5,0.7,0.6,0.4,0.4,0.7,0.4,0.7,0.3,0.2
기능정비,50,리어쇼크업소버어셈블리(RH),0.5,0.4,0.5,0.5,0.6,0.5,0.7,0.6,0.4,0.4,0.7,0.4,0.7,0.3,0.2
기능정비,51,에어컨 배출 및 충전,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
기능정비,52,에어컨 가스 충전(신냉매/완충),0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.8,0.8,0.8
기능정비,53,수동 변속기 오일,0.2,0.2,0.2,0.2,0.2,0.2,-,-,-,-,0.2,0.2,0.2,0.2,0.2
기능정비,54,전구,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
기능정비,55,해드 램프 벌브 (한쪽),0.2,0.3,0.2,0.5,0.2,0.2,0.2,0.6,0.7,0.7,0.3,0.2,0.2,0.3,0.3
기능정비,56,스파크 플러그 어셈블리 (전체),0.4,0.4,0.3,0.4,0.3,0.5,1.0,0.4,1.4,1.4,0.4,1.0,1.0,0.3,-
기능정비,57,엔진 오일/휠터,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.3,0.3,0.3,0.4,0.4
기능정비,58,엔진오일/필터/에어크리너,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.5,0.4,0.5,0.5
기능정비,59,부동액 (냉각수),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.5,0.2
기능정비,60,에어 클리너 필터,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
기능정비,61,LPI 필터,-,0.5,-,-,-,0.5,0.5,-,-,-,-,-,-,0.6,-
기능정비,62,베터리 어셈블리,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
기능정비,63,오토 트랜스액슬 오일,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2
기능정비,64,오토미션 오일 (장비 사용),0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5
기능정비,65,프론트브레이크디스크(LH),0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5
기능정비,66,프론트 브레이크 디스크(양쪽),0.7,0.7,1.1,0.7,0.7,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.7,0.7,0.8
기능정비,67,프론트브레이크디스크(RH),0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5
