업체명,구분,광역시도,시군구,주소,전화번호,유형별 블루핸즈
(주)관악정비센터,종합블루핸즈,서울특별시,관악구,"서울특별시 관악구 봉천로 412 (봉천동)",02-877-0024,"전기차 수리"
(주)구산점,전문블루핸즈,서울특별시,은평구,"서울특별시 은평구 서오릉로 239 (구산동)",02-363-8204,"전기차 수리; 전동차 기술력 우수"
(주)동빙고점,전문블루핸즈,서울특별시,용산구,"서울특별시 용산구 서빙고로 303 (동빙고동)",02-792-0300,"전기차 수리"
(주)봉천점,전문블루핸즈,서울특별시,관악구,"서울특별시 관악구 남부순환로 1686, 지상1층(신림동)",02-876-8204,"전기차 수리"
(주)서림점,전문블루핸즈,서울특별시,관악구,"서울특별시 관악구 신림로 171 금원프라자1층(서림동)",02-888-4700,"전기차 수리"
(주)역촌점,전문블루핸즈,서울특별시,은평구,"서울특별시 은평구 진흥로 49 (역촌동)",02-352-8272,"전기차 수리"
(주)염리점,전문블루핸즈,서울특별시,마포구,"서울특별시 마포구 백범로25길 49(염리동)",02-701-5705,"전기차 수리; 전동차 기술력 우수"
(주)영남중공업,종합블루핸즈,서울특별시,금천구,"서울특별시 금천구 시흥대로153길 26 (독산동)",02-855-9966,"전동차 기술력 우수; 중형상용 수리; 대형상용 수리; 상용 전동차 수리"
(주)오금동부점,전문블루핸즈,서울특별시,송파구,"서울특별시 송파구 위례성대로 194 (오금동)",02-443-0049,"전기차 수리; CS 우수"
(주)용강점,전문블루핸즈,서울특별시,마포구,"서울특별시 마포구 토정로 270 (용강동)",02-711-9228,"전기차 수리; 전동차 기술력 우수"
(주)정릉점,전문블루핸즈,서울특별시,성북구,"서울특별시 성북구 솔샘로 35(정릉동)",02-941-0466,"전기차 수리"
(주)합성자동차,종합블루핸즈,서울특별시,강북구,"서울특별시 강북구 도봉로 113 (미아동)",02-989-4901,"전기차 수리; 수소전기차 수리; 차체/도장 수리 인증"
(주)현대시트,종합블루핸즈,서울특별시,동작구,"서울특별시 동작구 등용로 89(대방동,1층)",02-713-8530,""
가락점,전문블루핸즈,서울특별시,송파구,"서울특별시 송파구 중대로 203 (가락동)",02-430-0135,"전기차 수리; 전동차 기술력 우수"
가양현대서비스,종합블루핸즈,서울특별시,강서구,"서울특별시 강서구 양천로 462 (등촌동)",02-3661-3661,"전기차 수리; 전동차 기술력 우수"
강남논현점,전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 논현로150길 21 (논현동)",02-516-8204,"전기차 수리; 전동차 기술력 우수"
강서현대서비스㈜,종합블루핸즈,서울특별시,강서구,"서울특별시 강서구 남부순환로 223 (외발산동)",02-2661-0072,"전기차 수리; 수소전기차 수리; 전동차 기술력 우수"
강일현대서비스,종합블루핸즈,서울특별시,강동구,"서울특별시 강동구 상일로12길 85(강일동)",02-6225-3000,"전기차 수리; 수소전기차 수리; 차체/도장 수리 인증"
개봉점,전문블루핸즈,서울특별시,구로구,"서울특별시 구로구 경인로 286 (개봉동)",02-2683-8774,"전기차 수리; 전동차 기술력 우수"
개포점,전문블루핸즈,서울특별시,강남구,"서울특별시 강남구 개포로 254 (개포동)",02-578-8204,"전기차 수리"
공단써비스쎈타,종합블루핸즈,서울특별시,구로구,"서울특별시 구로구 구로동로 2 (가리봉동)",02-851-2001,"전기차 수리"
공릉점,전문블루핸즈,서울특별시,노원구,"서울특별시 노원구 동일로197길 93 (공릉동)",02-948-4508,""
공항남부점,전문블루핸즈,서울특별시,강서구,"서울특별시 강서구 송정로 21-1 (공항동)",02-2064-0106,"전기차 수리; 수소전기차 수리"
광희점,전문블루핸즈,서울특별시,중구,"서울특별시 중구 마른내로 139 (광희동1가)",02-2275-8204,"전동차 기술력 우수"
구로남부점,전문블루핸즈,서울특별시,구로구,"서울특별시 구로구 도림로 43 (구로동)",02-868-0033,"전기차 수리; 전동차 기술력 우수"
구로동부점,전문블루핸즈,서울특별시,구로구,"서울특별시 구로구 시흥대로 527",02-869-9938,"전동차 기술력 우수"
구의점,전문블루핸즈,서울특별시,광진구,"서울특별시 광진구 광나루로50길 9",02-457-3702,"전기차 수리"
길동동부점,전문블루핸즈,서울특별시,강동구,"서울특별시 강동구 명일로 195",02-485-5656,"전기차 수리; 전동차 기술력 우수"
난곡점,전문블루핸즈,서울특별시,관악구,"서울특별시 관악구 난곡로 124-1 (신림동)",02-856-8204,"전기차 수리; 전동차 기술력 우수"
