canonical_id,대분류,중분류,component,operation_type,canonical_name
CAN-000001,기능정비,전기 및 램프,"ABS 센서(뒤,우)",교환,"ABS 센서(뒤,우) 교환"
CAN-000002,기능정비,전기 및 램프,"ABS 센서(뒤,우)",탈착,"ABS 센서(뒤,우) 탈착"
CAN-000003,기능정비,전기 및 램프,"ABS 센서(뒤,좌)",교환,"ABS 센서(뒤,좌) 교환"
CAN-000004,기능정비,전기 및 램프,"ABS 센서(뒤,좌)",탈착,"ABS 센서(뒤,좌) 탈착"
CAN-000005,기능정비,전기 및 램프,"ABS 센서(앞,우)",교환,"ABS 센서(앞,우) 교환"
CAN-000006,기능정비,전기 및 램프,"ABS 센서(앞,우)",탈착,"ABS 센서(앞,우) 탈착"
CAN-000007,기능정비,전기 및 램프,"ABS 센서(앞,좌)",교환,"ABS 센서(앞,좌) 교환"
CAN-000008,기능정비,전기 및 램프,"ABS 센서(앞,좌)",탈착,"ABS 센서(앞,좌) 탈착"
CAN-000009,기능정비,전기 및 램프,ABS하이드로릭유니트,교환,ABS하이드로릭유니트 교환
CAN-000010,기능정비,전기 및 램프,ABS하이드로릭유니트,탈착,ABS하이드로릭유니트 탈착
CAN-000011,기능정비,전기 및 램프,ABS휠센서(뒤우),교환,ABS휠센서(뒤우) 교환
CAN-000012,기능정비,전기 및 램프,ABS휠센서(뒤우),탈착,ABS휠센서(뒤우) 탈착
CAN-000013,기능정비,전기 및 램프,ABS휠센서(뒤좌),교환,ABS휠센서(뒤좌) 교환
CAN-000014,기능정비,전기 및 램프,ABS휠센서(뒤좌),탈착,ABS휠센서(뒤좌) 탈착
CAN-000015,기능정비,전기 및 램프,ABS휠센서(앞우),교환,ABS휠센서(앞우) 교환
CAN-000016,기능정비,전기 및 램프,ABS휠센서(앞우),탈착,ABS휠센서(앞우) 탈착
CAN-000017,기능정비,전기 및 램프,ABS휠센서(앞좌),교환,ABS휠센서(앞좌) 교환
CAN-000018,기능정비,전기 및 램프,ABS휠센서(앞좌),탈착,ABS휠센서(앞좌) 탈착
CAN-000019,기능정비,엔진 부품,AV(네비게이션)시스템,교환,AV(네비게이션)시스템 교환
CAN-000020,기능정비,엔진 부품,AV(네비게이션)시스템,탈착,AV(네비게이션)시스템 탈착
CAN-000021,기능정비,엔진 부품,AV시스템,교환,AV시스템 교환
CAN-000022,기능정비,엔진 부품,AV시스템,탈착,AV시스템 탈착
CAN-000023,기능정비,엔진 부품,BCM(LAN컨트롤 유니트),교환,BCM(LAN컨트롤 유니트) 교환
CAN-000024,기능정비,엔진 부품,BCM(LAN컨트롤 유니트),탈착,BCM(LAN컨트롤 유니트) 탈착
CAN-000025,기능정비,전기 및 램프,BCM(차체컨트롤모듈),교환,BCM(차체컨트롤모듈) 교환
CAN-000026,기능정비,전기 및 램프,BCM(차체컨트롤모듈),탈착,BCM(차체컨트롤모듈) 탈착
CAN-000027,기능정비,엔진 부품,CD 체인저,교환,CD 체인저 교환
CAN-000028,기능정비,엔진 부품,CD 체인저,탈착,CD 체인저 탈착
CAN-000029,기능정비,엔진 부품,C 필러(우측),교환,C 필러(우측) 교환
CAN-000030,기능정비,엔진 부품,C 필러(좌측),교환,C 필러(좌측) 교환
CAN-000031,기능정비,전기 및 램프,"DRL(데이램프,우)",교환,"DRL(데이램프,우) 교환"
CAN-000032,기능정비,전기 및 램프,"DRL(데이램프,우)",탈착,"DRL(데이램프,우) 탈착"
CAN-000033,기능정비,전기 및 램프,"DRL(데이램프,좌)",교환,"DRL(데이램프,좌) 교환"
CAN-000034,기능정비,전기 및 램프,"DRL(데이램프,좌)",탈착,"DRL(데이램프,좌) 탈착"
CAN-000035,기능정비,엔진 부품,DVD 체인져,교환,DVD 체인져 교환
CAN-000036,기능정비,엔진 부품,DVD 체인져,탈착,DVD 체인져 탈착
CAN-000037,판금/도장정비,판금(탈부착),D필러 익스텐션패널(우측),교환,D필러 익스텐션패널(우측) 교환
CAN-000038,판금/도장정비,판금(탈부착),D필러 익스텐션패널(좌측),교환,D필러 익스텐션패널(좌측) 교환
CAN-000039,기능정비,엔진 부품,D필러커버ASSY,교환,D필러커버ASSY 교환
CAN-000040,기능정비,엔진 부품,D필러커버ASSY,탈착,D필러커버ASSY 탈착
CAN-000041,판금/도장정비,판금(탈부착),"D 필러패널(내외측,우)",교환,"D 필러패널(내외측,우) 교환"
