canonical_id,alias_text,alias_type,source
CAN-002235,워터펌프 및 가스켓(텐션조정포함),seed_variant,bluehands_seed
CAN-002235,워터펌프ASSY 및 가스켓(텐션조정포함),seed_variant,bluehands_seed
CAN-002235,워터펌프assy 및 가스켓(텐션조정포함),seed_variant,bluehands_seed
CAN-002235,워터펌프어셈블리 및 가스켓 (텐션조정포함),seed_variant,bluehands_seed
CAN-002235,워터펌프어셈블리 및 가스켓 텐션조정포함,seed_variant,bluehands_seed
CAN-002235,워터펌프어셈블리 및 가스켓(텐션조정포함),seed_variant,bluehands_seed
CAN-002235,워터펌프어셈블리및가스켓(텐션조정포함),seed_variant,bluehands_seed
CAN-000344,라디에이터,seed_variant,bluehands_seed
CAN-000344,라디에이터 ASSY,seed_variant,bluehands_seed
CAN-000344,라디에이터 assy,seed_variant,bluehands_seed
CAN-000344,라디에이터 어셈블리,seed_variant,bluehands_seed
CAN-000344,라디에이터어셈블리,seed_variant,bluehands_seed
CAN-001129,블로워,seed_variant,bluehands_seed
CAN-001129,블로워 ASSY,seed_variant,bluehands_seed
CAN-001129,블로워 assy,seed_variant,bluehands_seed
CAN-001129,블로워 어셈블리,seed_variant,bluehands_seed
CAN-001129,블로워어셈블리,seed_variant,bluehands_seed
CAN-000342,라디에이터 상부 호스,seed_variant,bluehands_seed
CAN-000342,라디에이터상부호스,seed_variant,bluehands_seed
CAN-000353,라디에이터 하부 호스,seed_variant,bluehands_seed
CAN-000353,라디에이터하부호스,seed_variant,bluehands_seed
CAN-000529,리어 머플러 (LH),seed_variant,bluehands_seed
CAN-000529,리어 머플러 ASSY(LH),seed_variant,bluehands_seed
CAN-000529,리어 머플러 assy(lh),seed_variant,bluehands_seed
CAN-000529,리어 머플러 어셈블리 (LH),seed_variant,bluehands_seed
CAN-000529,리어 머플러 어셈블리 LH,seed_variant,bluehands_seed
CAN-000529,리어 머플러 어셈블리(LH),seed_variant,bluehands_seed
CAN-000529,리어 머플러 어셈블리(좌),seed_variant,bluehands_seed
CAN-000529,리어머플러어셈블리(LH),seed_variant,bluehands_seed
CAN-001987,엔진 언더 커버 (LH OR 한개),seed_variant,bluehands_seed
CAN-001987,엔진 언더 커버 LH OR 한개,seed_variant,bluehands_seed
CAN-001987,엔진 언더 커버(LH OR 한개),seed_variant,bluehands_seed
CAN-001987,엔진 언더 커버(lh or 한개),seed_variant,bluehands_seed
CAN-001987,엔진언더커버(LHOR한개),seed_variant,bluehands_seed
CAN-002990,프론트 머드 가드,seed_variant,bluehands_seed
CAN-002990,프론트머드가드,seed_variant,bluehands_seed
CAN-002035,연료 탱크,seed_variant,bluehands_seed
CAN-002035,연료 탱크 ASSY,seed_variant,bluehands_seed
CAN-002035,연료 탱크 assy,seed_variant,bluehands_seed
CAN-002035,연료 탱크 어셈블리,seed_variant,bluehands_seed
CAN-002035,연료탱크어셈블리,seed_variant,bluehands_seed
CAN-001353,스로틀 바디 카본 청소,seed_variant,bluehands_seed
CAN-001353,스로틀바디카본청소,seed_variant,bluehands_seed
CAN-002623,클러치 릴리스 실린더,seed_variant,bluehands_seed
CAN-002623,클러치 릴리스 실린더 ASSY,seed_variant,bluehands_seed
CAN-002623,클러치 릴리스 실린더 assy,seed_variant,bluehands_seed
CAN-002623,클러치 릴리스 실린더 어셈블리,seed_variant,bluehands_seed
CAN-002623,클러치릴리스실린더어셈블리,seed_variant,bluehands_seed
CAN-002850,파워 스티어링 오일 펌프,seed_variant,bluehands_seed
CAN-002850,파워 스티어링 오일 펌프 ASSY,seed_variant,bluehands_seed
CAN-002850,파워 스티어링 오일 펌프 assy,seed_variant,bluehands_seed
CAN-002850,파워 스티어링 오일 펌프 어셈블리,seed_variant,bluehands_seed
CAN-002850,파워스티어링오일펌프어셈블리,seed_variant,bluehands_seed
CAN-002844,파워 스티어링 오일 압력 호스,seed_variant,bluehands_seed
CAN-002844,파워 스티어링 오일 압력 호스 ASSY,seed_variant,bluehands_seed
CAN-002844,파워 스티어링 오일 압력 호스 assy,seed_variant,bluehands_seed
CAN-002844,파워 스티어링 오일 압력 호스 어셈블리,seed_variant,bluehands_seed
CAN-002844,파워스티어링오일압력호스어셈블리,seed_variant,bluehands_seed
CAN-002835,파워 스티어링 기어 및 링키지,seed_variant,bluehands_seed
CAN-002835,파워 스티어링 기어 및 링키지 ASSY,seed_variant,bluehands_seed
CAN-002835,파워 스티어링 기어 및 링키지 assy,seed_variant,bluehands_seed
CAN-002835,파워 스티어링 기어 및 링키지 어셈블리,seed_variant,bluehands_seed
CAN-002835,파워스티어링기어및링키지어셈블리,seed_variant,bluehands_seed
CAN-002840,파워 스티어링 및 링키지 (크로스멤버 탈착후),seed_variant,bluehands_seed
CAN-002840,파워 스티어링 및 링키지 크로스멤버 탈착후,seed_variant,bluehands_seed
CAN-002840,파워 스티어링 및 링키지(크로스멤버 탈착후),seed_variant,bluehands_seed
CAN-002840,파워스티어링및링키지(크로스멤버탈착후),seed_variant,bluehands_seed
CAN-000341,라디에이터 및 콘덴서,seed_variant,bluehands_seed
CAN-000341,라디에이터및콘덴서,seed_variant,bluehands_seed
CAN-000330,라디에이터 그릴,seed_variant,bluehands_seed
CAN-000330,라디에이터 그릴 ASSY,seed_variant,bluehands_seed
CAN-000330,라디에이터 그릴 assy,seed_variant,bluehands_seed
CAN-000330,라디에이터 그릴 어셈블리,seed_variant,bluehands_seed
