source,source_code,source_sheet,대분류,중분류,source_item_text,source_operation_type,canonical_id
bluehands,BH-M-001,,기능정비,엔진 부품,워터펌프어셈블리 및 가스켓(텐션조정포함),교환/정비,CAN-002235
bluehands,BH-M-002,,기능정비,엔진 부품,라디에이터 어셈블리,교환/정비,CAN-000344
bluehands,BH-M-003,,기능정비,에어컨,블로워 어셈블리,교환/정비,CAN-001129
bluehands,BH-M-004,,기능정비,엔진 부품,라디에이터 상부 호스,교환/정비,CAN-000342
bluehands,BH-M-005,,기능정비,엔진 부품,라디에이터 하부 호스,교환/정비,CAN-000353
bluehands,BH-M-006,,기능정비,엔진 부품,리어 머플러 어셈블리(LH),교환/정비,CAN-000529
bluehands,BH-M-007,,기능정비,엔진 부품,엔진 언더 커버(LH OR 한개),교환/정비,CAN-001987
bluehands,BH-M-008,,기능정비,엔진 부품,프론트 머드 가드,교환/정비,CAN-002990
bluehands,BH-M-009,,기능정비,엔진 부품,연료 탱크 어셈블리,교환/정비,CAN-002035
bluehands,BH-M-010,,기능정비,엔진 부품,스로틀 바디 카본 청소,청소,CAN-001353
bluehands,BH-M-011,,기능정비,엔진 부품,클러치 릴리스 실린더 어셈블리,교환/정비,CAN-002623
bluehands,BH-M-012,,기능정비,조향 및 현가,파워 스티어링 오일 펌프 어셈블리,교환/정비,CAN-002850
bluehands,BH-M-013,,기능정비,조향 및 현가,파워 스티어링 오일 압력 호스 어셈블리,교환/정비,CAN-002844
bluehands,BH-M-014,,기능정비,조향 및 현가,파워 스티어링 기어 및 링키지 어셈블리,교환/정비,CAN-002835
bluehands,BH-M-015,,기능정비,조향 및 현가,파워 스티어링 및 링키지(크로스멤버 탈착후),교환/정비,CAN-002840
bluehands,BH-M-016,,기능정비,에어컨,라디에이터 및 콘덴서,교환/정비,CAN-000341
bluehands,BH-M-017,,기능정비,엔진 부품,라디에이터 그릴 어셈블리,교환/정비,CAN-000330
bluehands,BH-M-018,,기능정비,엔진 부품,프런트 휠 가드 어셈블리 (양쪽),교환/정비,CAN-002912
bluehands,BH-M-019,,기능정비,엔진 부품,백 패널 몰딩 어셈블리 - - - -,교환/정비,CAN-001014
bluehands,BH-M-020,,기능정비,전기 및 램프,아웃사이드리어뷰미러어셈블리(LH) - -,교환/정비,CAN-001602
bluehands,BH-M-021,,기능정비,전기 및 램프,아웃사이드리어뷰미러어셈블리(RH) - -,교환/정비,CAN-001603
bluehands,BH-M-022,,기능정비,전기 및 램프,아웃사이드 리어 뷰 리모트 컨트롤 미러 어셈블리,교환/정비,CAN-001598
bluehands,BH-M-023,,기능정비,전기 및 램프,아웃사이드 리어 뷰 리모트 컨트롤 미러(RH),교환/정비,CAN-001597
bluehands,BH-M-024,,기능정비,전기 및 램프,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (LH),교환/정비,CAN-001600
bluehands,BH-M-025,,기능정비,전기 및 램프,아웃사이드 리어 뷰 미러 및 홀더 어셈블리 (RH),교환/정비,CAN-001601
bluehands,BH-M-026,,기능정비,전기 및 램프,헤드 램프 어셈블리(LH),교환/정비,CAN-003291
bluehands,BH-M-027,,기능정비,전기 및 램프,헤드 램프 어셈블리 (양쪽),교환/정비,CAN-003293
bluehands,BH-M-028,,기능정비,전기 및 램프,헤드 램프 어셈블리(RH),교환/정비,CAN-003292
bluehands,BH-M-029,,기능정비,전기 및 램프,프론트포그램프어셈블리 (LH),교환/정비,CAN-003142
bluehands,BH-M-030,,기능정비,전기 및 램프,프론트 포그 램프 어셈블리 (양쪽),교환/정비,CAN-003144
bluehands,BH-M-031,,기능정비,전기 및 램프,프론트포그램프어셈블리 (RH),교환/정비,CAN-003143
bluehands,BH-M-032,,기능정비,전기 및 램프,리어컴비네이션램프어셈블리 (LH),교환/정비,CAN-000715
bluehands,BH-M-033,,기능정비,전기 및 램프,리어 콤비네이션 램프 어셈블리 (양쪽),교환/정비,CAN-000731
bluehands,BH-M-034,,기능정비,전기 및 램프,리어컴비네이션램프어셈블리 (RH),교환/정비,CAN-000716
bluehands,BH-M-035,,기능정비,전기 및 램프,리어컴비네이션램프어셈블리 (LH) - -,교환/정비,CAN-000715
bluehands,BH-M-036,,기능정비,전기 및 램프,리어 콤비네이션 인사이드 램프 어셈블리 (양쪽) -,교환/정비,CAN-000732
bluehands,BH-M-037,,기능정비,전기 및 램프,리어컴비네이션아웃사이드램프어셈블리 (RH) -,교환/정비,CAN-000721
bluehands,BH-M-038,,기능정비,전기 및 램프,클락 스프링 어셈블리(에어백 포함),교환/정비,CAN-002622
bluehands,BH-M-039,,기능정비,전기 및 램프,스톱 램프 스위치 어셈블리,교환/정비,CAN-001374
bluehands,BH-M-040,,기능정비,전기 및 램프,밧데리-트랜스미터,교환/정비,CAN-000881
bluehands,BH-M-041,,기능정비,전기 및 램프,PIC TX 어셈블리,교환/정비,CAN-000088
bluehands,BH-M-042,,기능정비,전기 및 램프,에어백 컨트롤 모듈,교환/정비,CAN-001784
bluehands,BH-M-043,,기능정비,전기 및 램프,혼 어셈블리 (LH),교환/정비,CAN-003313
